adm1,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Alba,786,122,900,336,447,326,1534,353,582,722,653,2128,520,790,348,758,491,418,374,868,476,448,700,559
2,Arad,1473,136,246,336,346,361,444,357,373,349,268,634,461,552,268,863,614,1216,178,537,558,711,1156,670
3,Argeș,731,419,247,1660,1946,753,1328,972,1064,724,1713,1234,805,914,352,852,518,411,359,2314,442,440,507,530
4,Bacău,212,1437,306,1716,1199,746,807,1321,753,629,1188,837,360,502,349,827,708,698,543,718,540,535,809,687
5,Bihor,1198,108,281,474,311,311,1011,593,344,460,313,532,351,738,300,894,680,1923,409,815,754,1206,1681,634
6,Bistrița-Năsăud,307,308,396,556,566,351,2779,483,233,553,411,1482,389,537,424,887,571,466,387,1022,329,343,815,725
7,Botoșani,185,79,27,87,22,12,26,44,25,36,41,41,79,267,92,154,168,123,116,109,89,81,125,153
9,Brăila,19,31,20,25,20,10,51,15,38,68,28,66,34,70,113,122,174,77,128,167,167,232,142,131
8,Brașov,338,356,156,643,428,416,464,788,498,355,564,545,429,606,455,699,440,336,380,614,453,507,624,749
10,Bucharest,0,0,0,2,1,1,1,3,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0
11,Buzău,103,296,79,429,201,198,143,256,171,211,136,210,220,331,145,187,281,189,190,393,285,390,339,387
12,Călărași,17,53,11,26,34,14,59,76,49,83,51,84,92,148,185,259,239,237,187,184,328,283,412,220
13,Caraș-Severin,1387,92,198,401,377,384,380,648,422,453,249,629,541,923,300,1004,394,572,441,888,527,653,1827,639
14,Cluj,842,237,1926,892,806,399,5342,498,713,961,485,2655,331,422,213,696,529,735,288,743,386,510,1049,606
15,Constanța,19,40,23,24,13,9,19,18,20,32,23,60,24,39,75,91,87,65,84,81,114,129,166,76
16,Covasna,138,505,129,598,520,446,316,511,309,308,483,480,381,571,347,610,583,462,490,775,317,444,535,496
17,Dâmbovița,319,318,251,423,152,110,326,101,93,84,119,84,119,249,64,92,125,118,132,411,111,130,196,176
18,Dolj,216,484,111,227,221,83,174,115,319,85,230,161,260,263,128,151,135,176,159,291,190,164,201,169
19,Galați,21,34,4,28,17,18,18,32,31,69,23,207,26,38,34,79,100,122,58,99,106,156,123,105
20,Giurgiu,32,56,22,50,8,22,33,31,29,41,11,38,35,64,73,101,83,77,66,93,79,90,180,173
21,Gorj,483,224,92,255,301,399,275,357,281,253,178,487,432,855,204,318,212,338,280,489,255,384,513,412
22,Harghita,1570,1963,641,1661,2751,1646,4342,2809,2618,1478,2208,2746,794,1304,833,1684,1872,1377,978,3522,793,1131,1197,1060
23,Hunedoara,922,159,295,379,276,403,471,392,312,334,337,943,416,538,333,664,448,506,403,1139,600,691,1297,1003
25,Ialomița,17,47,18,31,30,31,53,31,35,58,27,69,42,96,127,187,200,136,147,158,141,129,258,188
24,Iași,87,144,58,161,135,50,179,87,27,133,45,173,171,564,167,217,328,186,186,210,251,163,250,210
26,Ilfov,8,49,8,41,9,15,11,11,13,21,19,25,28,37,19,36,50,32,12,17,38,59,101,88
27,Maramureș,662,292,450,1972,1597,1111,3123,1599,871,1850,1292,2748,848,1354,815,1791,978,1248,514,912,614,408,868,578
28,Mehedinți,314,197,105,260,174,152,141,149,326,140,83,179,249,288,69,104,86,120,105,217,159,238,285,307
29,Mureș,281,288,211,423,594,427,1528,463,499,641,471,907,437,618,486,738,749,693,513,2025,392,387,909,735
30,Neamț,700,891,250,553,905,407,705,786,814,705,642,692,436,522,418,806,1091,766,592,1185,762,782,787,1010
31,Olt,185,204,48,82,90,43,115,28,114,71,58,90,121,91,43,48,80,74,78,139,78,112,130,174
32,Prahova,92,491,28,344,159,101,126,131,127,121,167,170,147,203,83,124,146,113,123,461,171,159,184,242
33,Sălaj,125,27,76,363,49,85,82,148,83,109,60,139,92,115,130,126,139,109,40,117,130,164,336,201
34,Satu Mare,274,91,101,409,176,156,201,216,216,196,115,245,107,214,143,188,211,146,117,186,154,170,293,231
35,Sibiu,385,196,380,419,233,286,611,435,463,490,333,1478,300,568,456,986,606,431,340,836,695,472,716,591
36,Suceava,959,4818,757,1030,2752,1796,9561,1760,2132,3582,2935,5454,1637,2310,1472,3329,3357,3068,1810,2990,1742,1956,3774,3462
37,Teleorman,105,45,57,60,27,58,60,16,55,53,40,48,35,32,34,53,93,47,96,75,129,89,161,162
38,Timiș,1399,129,134,319,197,167,243,132,202,201,119,303,197,242,84,228,171,120,97,278,149,355,405,288
39,Tulcea,101,98,81,51,87,180,234,118,194,241,117,321,160,170,100,154,217,195,301,159,248,281,307,215
40,Vâlcea,392,423,155,361,662,286,504,267,384,406,373,883,476,861,384,711,435,371,259,683,445,369,358,397
41,Vaslui,15,59,8,43,42,28,45,29,29,49,22,54,64,60,51,106,125,115,43,88,109,201,190,148
42,Vrancea,118,412,144,712,540,274,218,358,318,429,301,389,301,416,191,1120,678,366,265,440,394,367,479,570
